record_date,month_in_year,day_in_month,day_in_year,day_in_week,week_in_month,week_in_year,is_holiday,holiday_before,holiday_after,day_in_holiday,is_adjust,is_special_holiday
2016-03-03,3,3,063,4,1,09,0,2,4,0,0,0
2016-03-04,3,4,064,5,1,09,0,1,5,0,0,0
2016-03-05,3,5,065,6,1,09,1,0,0,1,0,0
2016-03-06,3,6,066,7,1,10,1,0,0,2,0,0
2016-03-07,3,7,067,1,2,10,0,5,1,0,0,0
2016-03-08,3,8,068,2,2,10,0,4,2,0,0,0
2016-03-09,3,9,069,3,2,10,0,3,3,0,0,0
2016-03-10,3,10,070,4,2,10,0,2,4,0,0,0
2016-03-11,3,11,071,5,2,10,0,1,5,0,0,0
2016-03-12,3,12,072,6,2,10,1,0,0,1,0,0
2016-03-13,3,13,073,7,2,11,1,0,0,2,0,0
